State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,0,0,0,0,0,0,100
Feb,0,0,0.744047619,6.994047619,11.9047619,13.0952381,67.26190476
Mar,2.688172043,5.376344086,7.123655914,8.467741935,27.95698925,39.78494624,8.602150538
Apr,0.2777777778,5.972222222,4.722222222,21.94444444,30.97222222,27.77777778,8.333333333
May,0,2.150537634,5.376344086,14.11290323,27.28494624,21.23655914,29.83870968
Jun,1.944444444,4.444444444,6.388888889,18.47222222,24.58333333,26.11111111,18.05555556
Jul,1.612903226,5.107526882,13.84408602,23.52150538,29.70430108,20.02688172,6.182795699
Aug,0.5376344086,6.451612903,12.7688172,27.41935484,30.64516129,17.74193548,4.435483871
Sep,0.2777777778,11.38888889,15.13888889,22.63888889,27.36111111,22.36111111,0.8333333333
Oct,1.075268817,9.139784946,10.34946237,15.72580645,23.38709677,36.29032258,4.032258065
Nov,15,12.77777778,8.472222222,10.83333333,15.69444444,27.5,9.722222222
Dec,3.76344086,14.38172043,7.258064516,8.467741935,14.38172043,35.08064516,16.66666667
