State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,0,0,0.9497964722,7.191316147,23.33785617,55.90230665,12.61872456
Feb,0,0,0,4.885496183,18.32061069,47.78625954,29.00763359
Mar,0,0,0.8733624454,10.33478894,11.06259098,77.72925764,0
Apr,0,0,0,0,0,46.34873323,53.65126677
May,0,0,0,1.5130674,16.6437414,75.51581843,6.327372765
Jun,0,0,0,0,14.18732782,55.64738292,30.16528926
Jul,0,0,0,0,13.21525886,74.2506812,12.53405995
Aug,0,0,0,0,0.6702412869,64.20911528,35.12064343
Sep,0,0,0,0,0.1385041551,2.216066482,97.64542936
Oct,0,0,0,3.347889374,12.08151383,36.24454148,48.32605531
Nov,0,0,0.4219409283,8.438818565,17.72151899,73.41772152,0
Dec,0,0,0,0,4.037685061,18.43876178,77.52355316
