date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
22.12.2016 14:00,5.3,763.3,1.5,26,Wind blowing from the north-northwest,5,
22.12.2016 11:00,4.0,761.8,-3.3,29,Wind blowing from the north,5,
22.12.2016 08:00,1.9,765.1,4.2,36,Wind blowing from the north,5,
22.12.2016 05:00,4.0,760.9,-3.7,37,Wind blowing from the north-west,3,
22.12.2016 02:00,0.7,764.6,3.0,85,Wind blowing from the north-northeast,1,
21.12.2016 23:00,1.9,761.6,-3.9,79,Wind blowing from the west-northwest,1,
21.12.2016 20:00,1.8,765.5,3.5,78,"Calm, no wind",0,
21.12.2016 17:00,3.0,762.0,-2.8,71,Wind blowing from the south,1,
21.12.2016 14:00,3.8,764.8,0.5,68,Wind blowing from the south,1,
21.12.2016 11:00,0.6,764.3,-3.5,87,"Calm, no wind",0,
21.12.2016 08:00,-1.1,767.8,3.6,94,Wind blowing from the west-southwest,2,
21.12.2016 05:00,-1.1,764.2,-4.7,92,Wind blowing from the east,2,
21.12.2016 02:00,-1.2,768.9,2.6,92,Wind blowing from the north-east,2,
20.12.2016 23:00,-1.6,766.3,-3.2,92,Wind blowing from the west-southwest,1,
20.12.2016 20:00,-1.0,769.5,4.1,91,Wind blowing from the south-west,2,
20.12.2016 17:00,-1.1,765.4,-2.8,88,Wind blowing from the west-southwest,1,
20.12.2016 14:00,0.0,768.2,1.7,82,Wind blowing from the south-east,1,
20.12.2016 11:00,-1.6,766.5,-2.6,93,Wind blowing from the south-southwest,1,
20.12.2016 08:00,-3.0,769.1,4.3,96,Wind blowing from the south,1,
20.12.2016 05:00,-4.1,764.8,-4.0,94,Wind blowing from the east-northeast,2,
20.12.2016 02:00,-3.8,768.8,4.8,95,Wind blowing from the west,1,
19.12.2016 23:00,-1.4,764.0,-2.4,87,Wind blowing from the east-northeast,1,
19.12.2016 20:00,0.4,766.4,4.3,75,Wind blowing from the south-west,1,
19.12.2016 17:00,5.6,762.1,-2.7,50,Wind blowing from the west-southwest,2,
19.12.2016 14:00,8.4,764.8,1.6,42,Wind blowing from the west-southwest,2,
19.12.2016 11:00,4.0,763.2,-2.9,50,Wind blowing from the east-southeast,2,
