State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,4.838709677,6.317204301,7.52688172,7.258064516,16.53225806,45.43010753,12.09677419
Feb,1.636904762,9.523809524,11.30952381,14.28571429,29.31547619,33.7797619,0.1488095238
Mar,1.344086022,11.42473118,4.569892473,11.82795699,35.21505376,30.91397849,4.704301075
Apr,1.666666667,5.833333333,8.611111111,12.63888889,22.91666667,48.05555556,0.2777777778
May,0.1344086022,5.913978495,8.467741935,19.89247312,31.0483871,33.60215054,0.9408602151
Jun,0,4.583333333,13.47222222,20.97222222,27.63888889,11.80555556,21.52777778
Jul,0.5376344086,17.33870968,19.75806452,18.01075269,24.59677419,19.75806452,0
Aug,1.075268817,6.451612903,11.42473118,15.99462366,29.56989247,26.34408602,9.139784946
Sep,1.805555556,9.305555556,8.888888889,15.55555556,18.05555556,11.38888889,35
Oct,11.96236559,8.333333333,8.333333333,6.989247312,24.32795699,39.78494624,0.2688172043
Nov,11.80555556,13.47222222,7.361111111,11.38888889,16.25,31.94444444,7.777777778
Dec,5.913978495,12.3655914,4.032258065,10.61827957,13.03763441,53.89784946,0.1344086022
