State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,6.182795699,11.96236559,9.811827957,19.22043011,19.75806452,32.12365591,0.9408602151
Feb,23.95833333,11.9047619,9.970238095,15.625,13.83928571,24.25595238,0.4464285714
Mar,4.704301075,14.24731183,11.55913978,13.97849462,16.66666667,38.70967742,0.1344086022
Apr,0.1388888889,3.75,12.36111111,23.61111111,37.77777778,21.94444444,0.4166666667
May,0,1.612903226,3.225806452,18.41397849,37.90322581,38.57526882,0.2688172043
Jun,0,0.2777777778,4.305555556,10.41666667,33.33333333,49.30555556,2.361111111
Jul,0.1344086022,6.182795699,12.2311828,19.35483871,28.09139785,33.06451613,0.9408602151
Aug,0,0.2688172043,4.301075269,15.59139785,31.58602151,46.77419355,1.478494624
Sep,0,0.8333333333,4.861111111,20.41666667,33.61111111,39.58333333,0.6944444444
Oct,14.78494624,12.09677419,11.15591398,12.90322581,21.63978495,27.28494624,0.1344086022
Nov,8.472222222,11.25,6.111111111,8.055555556,18.33333333,45.83333333,1.944444444
Dec,5.510752688,5.241935484,6.182795699,10.75268817,14.24731183,54.30107527,3.76344086
