State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,2.419354839,4.97311828,6.85483871,13.97849462,14.11290323,57.52688172,0.1344086022
Feb,0.744047619,1.19047619,3.720238095,6.101190476,13.98809524,73.66071429,0.5952380952
Mar,6.048387097,9.408602151,5.376344086,13.03763441,18.01075269,47.98387097,0.1344086022
Apr,0.1388888889,3.611111111,3.75,11.11111111,37.91666667,43.47222222,0
May,0.1344086022,1.478494624,3.091397849,8.602150538,31.58602151,54.70430108,0.4032258065
Jun,0.2777777778,0.2777777778,0.9722222222,10.83333333,39.30555556,47.22222222,1.111111111
Jul,0,0.8064516129,2.150537634,7.52688172,43.41397849,44.35483871,1.747311828
Aug,0,0,0,2.150537634,32.52688172,64.91935484,0.4032258065
Sep,0,1.111111111,3.333333333,10.83333333,20,64.72222222,0
Oct,0,7.123655914,9.274193548,18.27956989,22.44623656,41.93548387,0.9408602151
Nov,2.5,12.63888889,12.22222222,14.44444444,23.75,34.02777778,0.4166666667
Dec,12.2311828,14.11290323,14.24731183,11.15591398,12.7688172,35.21505376,0.2688172043
