State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,0,0,0,0,0,0,100
Feb,0,0,0,0,0,0,100
Mar,0,0,0,0,0,0,100
Apr,1,61,67,105,173,130,168
May,6,58,83,179,171,241,6
Jun,0,24,121,107,256,143,0
Jul,0,23,75,117,202,170,157
Aug,0,0,43,102,229,310,60
Sep,0,5,28,71,215,360,41
Oct,16,62,61,98,164,341,2
Nov,0,3,14,31,19,67,576
Dec,0,0,0,0,0,0,100
