State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,4.838709677,12.2311828,11.96236559,13.70967742,17.06989247,40.18817204,0
Feb,3.720238095,11.45833333,10.86309524,13.54166667,14.43452381,45.98214286,0
Mar,2.688172043,6.317204301,8.73655914,17.74193548,24.46236559,40.05376344,0
Apr,0.2777777778,3.333333333,4.027777778,21.80555556,33.33333333,37.22222222,0
May,0,0.5376344086,3.897849462,13.03763441,31.58602151,50.94086022,0
Jun,0,1.25,0.9722222222,14.44444444,25.41666667,57.91666667,0
Jul,0,0,0.1344086022,8.73655914,42.87634409,48.25268817,0
Aug,0,0,0,7.123655914,29.03225806,63.84408602,0
Sep,0,0.4166666667,4.722222222,6.944444444,22.91666667,64.58333333,0.4166666667
Oct,3.629032258,9.408602151,3.494623656,5.64516129,16.53225806,60.75268817,0.5376344086
Nov,6.666666667,15.83333333,10.83333333,12.22222222,22.63888889,31.80555556,0
Dec,18.9516129,15.18817204,11.15591398,7.661290323,10.88709677,36.02150538,0.1344086022
