% Country: China
% Region: Beijing
% Population: NaN
% Max Latitude: 41.0593
% Max Longitude: 117.4992
% Min Latitude: 39.442
% Min Longitude: 115.4138
% Year, Month, Day, UTC Hour, PM2.5, PM10_mask, Retrospective
2014	5	22	6	118.18	0.00	1
2014	5	22	7	122.38	0.00	1
2014	5	22	8	125.72	0.00	1
2014	5	22	9	131.45	0.00	1
2014	5	22	10	132.47	0.00	1
2014	5	22	11	135.09	0.00	1
2014	5	22	12	140.75	0.00	1
2014	5	22	13	143.88	0.00	1
2014	5	22	14	144.86	0.00	1
2014	5	22	15	159.61	0.00	1
2014	5	22	16	174.93	0.00	1
2014	5	22	17	188.93	0.00	1
2014	5	22	18	182.28	0.00	1
2014	5	22	19	203.84	0.00	1
2014	5	22	20	168.26	0.00	1
2014	5	22	21	146.35	0.00	1
2014	5	22	22	104.62	0.00	1
2014	5	22	23	66.75	0.00	1
2014	5	23	0	47.33	0.00	1
2014	5	23	1	42.65	0.00	1
2014	5	23	2	40.58	0.00	1
2014	5	23	3	39.97	0.00	1
2014	5	23	4	49.33	0.00	1
2014	5	23	5	55.76	0.00	1
2014	5	23	6	63.58	0.00	1
2014	5	23	7	71.26	0.00	1
2014	5	23	8	68.92	0.00	1
2014	5	23	9	76.25	0.00	1
2014	5	23	10	78.87	0.00	1
2014	5	23	11	84.21	0.00	1
2014	5	23	12	87.32	0.00	1
2014	5	23	13	90.99	0.00	1
2014	5	23	14	93.66	0.00	1
2014	5	23	15	97.84	0.00	1
2014	5	23	16	100.37	0.00	1
2014	5	23	17	103.87	0.00	1
2014	5	23	18	101.94	0.00	1
2014	5	23	19	96.15	0.00	1
2014	5	23	23	46.42	0.00	1
2014	5	24	0	40.28	0.00	1
2014	5	24	1	43.63	0.00	1
2014	5	24	2	43.89	0.00	1
2014	5	24	3	50.48	0.00	1
2014	5	24	4	52.94	0.00	1
2014	5	24	5	57.33	0.00	1
2014	5	24	6	62.93	0.00	1
2014	5	24	7	69.33	0.00	1
2014	5	24	8	71.07	0.00	1
2014	5	24	9	70.27	0.00	1
2014	5	24	10	68.71	0.00	1
2014	5	24	11	65.57	0.00	1
2014	5	24	12	58.21	0.00	1
2014	5	24	13	53.83	0.00	1
2014	5	24	14	54.11	0.00	1
2014	5	24	15	51.66	0.00	1
2014	5	24	16	50.37	0.00	1
2014	5	24	17	49.93	0.00	1
2014	5	24	18	50.41	0.00	1
2014	5	24	19	49.75	0.00	1
2014	5	24	20	51.33	0.00	1
2014	5	24	21	56.44	0.00	1
2014	5	24	22	52.63	0.00	1
2014	5	24	23	56.26	0.00	1
2014	5	25	0	59.47	0.00	1
2014	5	25	1	56.96	0.00	1
2014	5	25	2	56.13	0.00	1
2014	5	25	3	58.16	0.00	1
2014	5	25	4	60.23	0.00	1
2014	5	25	5	62.76	0.00	1
2014	5	25	6	66.44	0.00	1
2014	5	25	7	66.42	0.00	1
2014	5	25	8	67.09	0.00	1
2014	5	25	9	71.96	0.00	1
2014	5	25	10	76.65	0.00	1
2014	5	25	11	81.55	0.00	1
2014	5	25	12	85.80	0.00	1
2014	5	25	13	93.23	0.00	1
2014	5	25	14	98.14	0.00	1
2014	5	25	15	102.58	0.00	1
2014	5	25	16	112.20	0.00	1
2014	5	25	17	114.81	0.00	1
2014	5	25	18	119.80	0.00	1
2014	5	25	19	108.65	0.00	1
2014	5	25	20	69.22	0.00	1
2014	5	25	21	44.60	0.00	1
2014	5	25	22	32.62	0.00	1
2014	5	25	23	21.21	0.00	1
2014	5	26	0	14.31	0.00	1
2014	5	26	1	11.05	0.00	1
2014	5	26	2	8.49	0.00	1
2014	5	26	3	7.71	0.00	1
2014	5	26	4	9.61	0.00	1
2014	5	26	5	10.65	0.00	1
2014	5	26	6	14.77	0.00	1
2014	5	26	7	18.88	0.00	1
2014	5	26	8	15.50	0.00	1
2014	5	26	9	15.70	0.00	1
2014	5	26	10	15.83	0.00	1
2014	5	26	11	20.39	0.00	1
2014	5	26	12	17.06	0.00	1
2014	5	26	13	17.17	0.00	1
2014	5	26	14	17.39	0.00	1
2014	5	26	15	20.41	0.00	1
2014	5	26	16	22.96	0.00	1
2014	5	26	17	23.19	0.00	1
2014	5	26	18	20.56	0.00	1
2014	5	26	19	17.60	0.00	1
2014	5	26	20	18.10	0.00	1
2014	5	26	21	18.59	0.00	1
2014	5	26	22	17.88	0.00	1
2014	5	26	23	19.96	0.00	1
2014	5	27	0	22.08	0.00	1
2014	5	27	1	19.51	0.00	1
2014	5	27	2	18.99	0.00	1
2014	5	27	3	16.65	0.00	1
2014	5	27	4	19.88	0.00	1
2014	5	27	5	24.29	0.00	1
2014	5	27	6	29.24	0.00	1
2014	5	27	7	29.25	0.00	1
2014	5	27	8	28.23	0.00	1
2014	5	27	9	27.23	0.00	1
2014	5	27	10	28.38	0.00	1
2014	5	27	11	29.26	0.00	1
2014	5	27	12	31.89	0.00	1
2014	5	27	13	33.21	0.00	1
2014	5	27	14	38.49	0.00	1
2014	5	27	15	51.93	0.00	1
2014	5	27	16	60.27	0.00	1
2014	5	27	17	65.26	0.00	1
2014	5	27	18	46.04	0.00	1
2014	5	27	19	33.25	0.00	1
2014	5	27	20	20.53	0.00	1
2014	5	27	21	15.77	0.00	1
2014	5	27	22	15.28	0.00	1
2014	5	27	23	14.34	0.00	1
2014	5	28	0	13.70	0.00	1
2014	5	28	1	13.05	0.00	1
2014	5	28	2	13.54	0.00	1
2014	5	28	3	11.58	0.00	1
2014	5	28	4	20.10	0.00	1
2014	5	28	5	19.88	0.00	1
2014	5	28	6	19.73	0.00	1
2014	5	28	7	11.16	0.00	1
2014	5	28	8	12.59	0.00	1
2014	5	28	9	12.80	0.00	1
2014	5	28	10	19.05	0.00	1
2014	5	28	11	19.82	0.00	1
2014	5	28	12	23.62	0.00	1
2014	5	28	13	22.44	0.00	1
2014	5	28	14	23.05	0.00	1
2014	5	28	15	26.45	0.00	1
