State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,0,0.4032258065,3.225806452,3.76344086,13.03763441,76.61290323,2.956989247
Feb,0.5952380952,1.93452381,3.125,13.69047619,13.98809524,48.80952381,17.85714286
Mar,0.2688172043,6.451612903,10.75268817,13.70967742,32.66129032,35.88709677,0.2688172043
Apr,0,3.888888889,3.472222222,16.38888889,24.58333333,51.52777778,0.1388888889
May,0.4032258065,0.5376344086,3.225806452,8.467741935,32.52688172,39.91935484,14.91935484
Jun,0,0,0.9722222222,5.694444444,34.72222222,58.19444444,0.4166666667
Jul,0.8064516129,0,0,0.2688172043,20.29569892,77.01612903,1.612903226
Aug,0,0,0,0,19.35483871,80.10752688,0.5376344086
Sep,0,0,0,3.055555556,14.86111111,81.11111111,0.9722222222
Oct,0.1344086022,0,4.435483871,7.123655914,18.8172043,66.39784946,3.091397849
Nov,0.8333333333,5.972222222,9.166666667,9.861111111,25,49.16666667,0
Dec,0.1344086022,0.8064516129,3.897849462,6.317204301,18.14516129,70.43010753,0.2688172043
