State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,27.01612903,12.3655914,10.08064516,8.602150538,14.65053763,26.61290323,0.6720430108
Feb,9.970238095,13.24404762,11.45833333,11.30952381,16.96428571,36.9047619,0.1488095238
Mar,7.258064516,14.91935484,8.870967742,18.41397849,20.96774194,28.89784946,0.6720430108
Apr,0,4.166666667,5.555555556,11.25,30.41666667,47.91666667,0.6944444444
May,0.8064516129,4.032258065,5.376344086,17.74193548,44.08602151,25.67204301,2.284946237
Jun,1.25,5.972222222,18.88888889,26.52777778,26.38888889,20.69444444,0.2777777778
Jul,0,0.1344086022,5.64516129,15.72580645,36.02150538,41.53225806,0.9408602151
Aug,0,0.2688172043,3.091397849,15.18817204,32.93010753,47.31182796,1.209677419
Sep,0,9.583333333,5.277777778,24.16666667,28.61111111,31.94444444,0.4166666667
Oct,4.97311828,12.3655914,10.34946237,11.42473118,20.02688172,40.05376344,0.8064516129
Nov,3.611111111,10.83333333,11.38888889,9.166666667,15.55555556,49.16666667,0.2777777778
Dec,7.930107527,7.795698925,6.182795699,9.005376344,19.08602151,47.31182796,2.688172043
