State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,1.478494624,1.344086022,2.822580645,9.005376344,22.31182796,63.03763441,0
Feb,0.1488095238,3.571428571,5.05952381,7.291666667,26.63690476,57.29166667,0
Mar,0.1344086022,3.494623656,5.913978495,10.48387097,17.74193548,61.96236559,0.2688172043
Apr,0,0.1388888889,1.25,10.69444444,31.25,56.66666667,0
May,0.9408602151,0,0.5376344086,4.97311828,24.32795699,68.41397849,0.8064516129
Jun,0.1388888889,0,0,0.2777777778,21.66666667,77.91666667,0
Jul,0.1344086022,0,0,0,12.90322581,75.40322581,11.55913978
Aug,0.1344086022,0,0,0,4.569892473,94.48924731,0.8064516129
Sep,0.2777777778,0,0,1.805555556,18.88888889,74.44444444,4.583333333
Oct,0.2688172043,0,2.419354839,3.897849462,27.82258065,65.18817204,0.4032258065
Nov,0.1388888889,0,3.888888889,5.416666667,22.77777778,67.77777778,0
Dec,0,1.075268817,6.720430108,4.301075269,20.56451613,67.33870968,0
