State,300+,200-300,150-200,100-150,50-100,0-50,invalid
Jan,0,1.344086022,3.225806452,4.97311828,15.86021505,65.05376344,9.543010753
Feb,16.07142857,12.5,5.05952381,13.54166667,20.68452381,32.14285714,0
Mar,2.016129032,3.494623656,1.478494624,6.989247312,13.57526882,56.3172043,16.12903226
Apr,0,4.166666667,14.72222222,10.83333333,18.61111111,26.25,25.41666667
May,0,3.629032258,4.032258065,10.48387097,30.51075269,47.04301075,4.301075269
Jun,1.111111111,11.66666667,15.83333333,18.47222222,23.75,27.91666667,1.25
Jul,3.76344086,9.139784946,9.543010753,17.06989247,34.40860215,25.53763441,0.5376344086
Aug,0.4032258065,5.510752688,6.048387097,26.07526882,26.61290323,12.09677419,23.25268817
Sep,2.083333333,10.97222222,9.861111111,14.86111111,18.33333333,43.75,0.1388888889
Oct,9.408602151,21.10215054,5.376344086,8.064516129,11.02150538,27.82258065,17.20430108
Nov,4.722222222,12.36111111,9.166666667,16.38888889,21.52777778,35.13888889,0.6944444444
Dec,6.85483871,12.5,8.467741935,10.34946237,20.83333333,40.86021505,0.1344086022
